mamlakat,yil,bugdoy,sholi,makkajoxori,kartoshka,arpa
Oʻzbekiston,1992,1.662,3.203,3.723,8.512,1.41
Oʻzbekiston,1993,1.358,3.219,3.841,10.616,1.157
Oʻzbekiston,1994,1.515,3.162,3.398,10.7,1.108
Oʻzbekiston,1995,2.142,1.975,3.507,9.584,1.391
Oʻzbekiston,1996,2.064,1.925,3.439,11.594,1.353
Oʻzbekiston,1997,2.199,2.135,2.819,12.012,1.526
Oʻzbekiston,1998,2.633,2.512,3.249,12.64,1.543
Oʻzbekiston,1999,2.646,2.697,2.956,13.563,2.024
Oʻzbekiston,2000,2.717,3.522,2.654,14.006,1.51
Oʻzbekiston,2001,3.151,2.326,3.651,14.654,1.758
Oʻzbekiston,2002,4.041,5.288,4.191,15.894,1.821
Oʻzbekiston,2003,3.732,10.11,4.216,16.959,1.488
Oʻzbekiston,2004,3.746,2.845,4.492,17.179,1.416
Oʻzbekiston,2005,4.207,3.272,4.887,18.554,1.565
Oʻzbekiston,2006,4.211,3.693,5.916,19.414,1.313
Oʻzbekiston,2007,4.479,4.121,6.064,21.383,2.026
Oʻzbekiston,2008,4.477,3.364,7.146,23.351,1.441
Oʻzbekiston,2009,4.901,4.466,7.668,24.371,1.44
Oʻzbekiston,2010,4.6,3.61,8.184,23.972,1.914
Oʻzbekiston,2011,4.556,5.184,9.682,25.307,1.282
Oʻzbekiston,2012,4.71,4.269,8.036,27.033,1.658
Oʻzbekiston,2013,4.739,7.577,10.619,28.741,1.496
Oʻzbekiston,2014,4.782,7.297,11.563,30.54,1.514
Oʻzbekiston,2015,4.818,6.039,11.784,33.46,1.631
Oʻzbekiston,2016,4.802,6.296,12.361,32.99,1.625
Oʻzbekiston,2017,4.316,5.547,10.408,35.702,1.349
Oʻzbekiston,2018,4.126,5.246,10.378,33.686,1.239
Qirgʻiziston,1992,2.734,1.474,5.132,13.309,2.355
Qirgʻiziston,1993,2.456,0.96,4.516,11.59,2.164
Qirgʻiziston,1994,1.826,1.3,3.533,9.091,1.498
Qirgʻiziston,1995,1.718,1.489,3.207,9.853,1.054
Qirgʻiziston,1996,2.135,1.704,3.918,11.43,1.535
Qirgʻiziston,1997,2.317,1.918,4.453,12.064,1.822
Qirgʻiziston,1998,2.358,2.004,4.922,13.066,1.999
Qirgʻiziston,1999,2.298,2.47,5.304,14.951,1.763
Qirgʻiziston,2000,2.342,3.049,5.752,15.154,2.136
Qirgʻiziston,2001,2.488,2.986,6.096,15.822,2.08
Qirgʻiziston,2002,2.302,3.129,5.78,23.787,2.348
Qirgʻiziston,2003,2.365,3.007,6.09,15.72,2.278
Qirgʻiziston,2004,2.434,3.005,6.194,15.994,2.279
Qirgʻiziston,2005,2.241,2.952,6.065,15.037,2.097
Qirgʻiziston,2006,2.068,2.963,6.07,15.472,1.974
Qirgʻiziston,2007,1.998,2.824,6.06,15.895,1.812
Qirgʻiziston,2008,1.94,2.855,5.857,15.705,1.58
Qirgʻiziston,2009,2.629,3.304,6.176,15.999,2.344
Qirgʻiziston,2010,2.167,3.294,6.063,15.964,1.889
Qirgʻiziston,2011,2.145,3.09,6.014,16.254,1.917
Qirgʻiziston,2012,1.675,3.222,6.097,16.103,1.448
Qirgʻiziston,2013,2.365,3.444,6.182,16.546,2.107
Qirgʻiziston,2014,1.689,3.502,6.046,16.741,1.268
Qirgʻiziston,2015,2.37,3.508,6.272,16.764,2.128
Qirgʻiziston,2016,2.446,3.518,6.378,16.899,2.249
Qirgʻiziston,2017,2.405,3.567,6.445,17.054,2.202
Qirgʻiziston,2018,2.427,3.594,6.595,17.134,2.238
Qozogʻiston,1992,1.332,3.992,3.121,10.592,1.512
Qozogʻiston,1993,0.918,3.687,3.268,9.62,1.038
Qozogʻiston,1994,0.749,2.794,2.239,9.574,0.973
Qozogʻiston,1995,0.575,2.193,1.932,8.459,0.561
Qozogʻiston,1996,0.684,2.616,1.68,8.835,0.822
Qozogʻiston,1997,0.845,3.076,1.814,8.408,0.935
Qozogʻiston,1998,0.52,3.216,2.678,7.668,0.619
Qozogʻiston,1999,1.287,2.807,3.017,10.753,1.332
Qozogʻiston,2000,0.903,2.972,3.335,10.638,1.024
Qozogʻiston,2001,1.18,2.871,3.712,13.29,1.311
Qozogʻiston,2002,1.09,3.029,4.137,13.928,1.272
Qozogʻiston,2003,1.025,3.27,4.324,13.906,1.142
Qozogʻiston,2004,0.843,3.418,4.458,13.448,0.845
Qozogʻiston,2005,0.948,3.352,4.155,15.014,1.053
Qozogʻiston,2006,1.135,3.297,4.632,15.385,1.168
Qozogʻiston,2007,1.298,3.368,4.564,15.579,1.328
Qozogʻiston,2008,0.972,3.374,4.404,14.436,1.047
Qozogʻiston,2009,1.194,3.532,4.75,16.209,1.474
Qozogʻiston,2010,0.734,3.97,4.833,14.319,0.985
Qozogʻiston,2011,1.661,3.715,4.986,16.718,1.711
Qozogʻiston,2012,0.793,3.771,5.188,16.593,0.912
Qozogʻiston,2013,1.076,3.85,5.278,18.152,1.382
Qozogʻiston,2014,1.09,3.957,5.282,18.425,1.263
Qozogʻiston,2015,1.188,4.276,5.33,18.55,1.313
Qozogʻiston,2016,1.211,4.748,5.642,19.038,1.706
Qozogʻiston,2017,1.243,4.684,5.741,19.416,1.598
Qozogʻiston,2018,1.228,4.759,5.745,19.794,1.578
Tojikiston,1992,0.907,2.018,2.961,12.877,0.755
Tojikiston,1993,0.851,1.831,3.046,12.049,0.79
Tojikiston,1994,0.841,1.538,1.8,11.167,0.643
Tojikiston,1995,0.888,1.8,1.937,27.9,0.621
Tojikiston,1996,0.857,1.727,3.752,10.77,0.579
Tojikiston,1997,1.269,2.709,2.75,10.029,0.934
Tojikiston,1998,1.145,2.457,2.982,10.493,0.914
